2022-04-22 11:15:27.924665	acc 0 :   	58.23 (¡À 3.08)	sen :   	40.63 (¡À 7.24)	spe :   	73.84 (¡À 3.69)f1 :   	47.18 (¡À 5.57)auc :   	57.23 (¡À 3.13)
2022-04-22 11:15:27.924665	acc 1 :   	58.27 (¡À 3.43)	sen :   	41.25 (¡À 5.03)	spe :   	73.30 (¡À 3.64)f1 :   	47.78 (¡À 4.62)auc :   	57.27 (¡À 3.35)
2022-04-22 11:15:27.924665	acc 2 :   	58.54 (¡À 2.30)	sen :   	40.21 (¡À 2.83)	spe :   	74.57 (¡À 4.62)f1 :   	47.39 (¡À 3.15)auc :   	57.39 (¡À 2.52)
2022-04-22 11:15:27.924665	acc 3 :   	58.86 (¡À 3.88)	sen :   	42.59 (¡À 5.03)	spe :   	73.12 (¡À 4.58)f1 :   	48.95 (¡À 4.46)auc :   	57.85 (¡À 3.51)
2022-04-22 11:15:27.924665	acc 4 :   	59.18 (¡À 3.14)	sen :   	41.57 (¡À 5.31)	spe :   	74.58 (¡À 2.34)f1 :   	48.48 (¡À 4.82)auc :   	58.07 (¡À 2.96)
2022-04-22 11:15:27.924665	 0.20 acc  :   	58.62 (¡À 0.36)  sen  :   	41.25 (¡À 0.82)  spe  :   	73.88 (¡À 0.61)  f1  :   	47.96 (¡À 0.67)  auc  :   	57.56 (¡À 0.34)
2022-04-22 17:08:46.685902	acc 0 :   	61.16 (¡À 3.46)	sen :   	44.96 (¡À 7.19)	spe :   	75.68 (¡À 4.02)f1 :   	51.51 (¡À 5.18)auc :   	60.32 (¡À 2.76)
2022-04-22 17:08:46.685902	acc 1 :   	59.94 (¡À 1.80)	sen :   	44.17 (¡À 3.66)	spe :   	73.77 (¡À 3.85)f1 :   	50.55 (¡À 2.69)auc :   	58.97 (¡À 1.84)
2022-04-22 17:08:46.685902	acc 2 :   	60.71 (¡À 2.40)	sen :   	45.32 (¡À 3.81)	spe :   	74.11 (¡À 3.57)f1 :   	51.65 (¡À 3.97)auc :   	59.72 (¡À 2.58)
2022-04-22 17:08:46.685902	acc 3 :   	61.30 (¡À 2.03)	sen :   	45.30 (¡À 2.64)	spe :   	75.29 (¡À 4.54)f1 :   	52.06 (¡À 2.30)auc :   	60.29 (¡À 1.96)
2022-04-22 17:08:46.685902	acc 4 :   	61.34 (¡À 3.26)	sen :   	46.66 (¡À 8.02)	spe :   	74.67 (¡À 5.03)f1 :   	52.53 (¡À 4.66)auc :   	60.67 (¡À 3.05)
2022-04-22 17:08:46.685902	acc 5 :   	60.98 (¡À 3.68)	sen :   	45.61 (¡À 4.92)	spe :   	74.59 (¡À 3.14)f1 :   	51.98 (¡À 4.10)auc :   	60.10 (¡À 3.19)
2022-04-22 17:08:46.685902	acc 6 :   	62.12 (¡À 4.75)	sen :   	46.41 (¡À 5.31)	spe :   	75.94 (¡À 5.37)f1 :   	53.23 (¡À 5.38)auc :   	61.18 (¡À 4.49)
2022-04-22 17:08:46.685902	acc 7 :   	61.17 (¡À 3.18)	sen :   	45.92 (¡À 5.65)	spe :   	74.54 (¡À 2.57)f1 :   	52.22 (¡À 4.41)auc :   	60.23 (¡À 2.82)
2022-04-22 17:08:46.685902	acc 8 :   	60.90 (¡À 5.06)	sen :   	44.01 (¡À 7.99)	spe :   	76.09 (¡À 6.44)f1 :   	50.81 (¡À 6.58)auc :   	60.05 (¡À 4.64)
2022-04-22 17:08:46.685902	acc 9 :   	60.80 (¡À 1.94)	sen :   	44.20 (¡À 5.59)	spe :   	75.38 (¡À 4.44)f1 :   	50.97 (¡À 4.67)auc :   	59.79 (¡À 2.43)
2022-04-22 17:08:46.685902	 0.20 acc  :   	61.04 (¡À 0.52)  sen  :   	45.26 (¡À 0.88)  spe  :   	75.01 (¡À 0.75)  f1  :   	51.75 (¡À 0.79)  auc  :   	60.13 (¡À 0.56)
2022-04-22 17:28:09.084311	acc 0 :   	46.38 (¡À 3.21)	sen :   	42.27 (¡À 2.76)	spe :   	49.92 (¡À 5.56)f1 :   	42.23 (¡À 2.23)auc :   	46.09 (¡À 3.05)
2022-04-22 17:28:09.084311	acc 1 :   	46.38 (¡À 3.13)	sen :   	42.91 (¡À 5.16)	spe :   	49.55 (¡À 5.64)f1 :   	42.54 (¡À 3.29)auc :   	46.23 (¡À 2.95)
2022-04-22 17:28:09.084311	acc 2 :   	46.25 (¡À 2.82)	sen :   	42.11 (¡À 3.16)	spe :   	50.04 (¡À 4.51)f1 :   	42.09 (¡À 3.50)auc :   	46.07 (¡À 2.88)
2022-04-22 17:28:09.084311	acc 3 :   	46.47 (¡À 3.39)	sen :   	42.24 (¡À 3.92)	spe :   	50.04 (¡À 5.27)f1 :   	42.28 (¡À 4.40)auc :   	46.14 (¡À 3.49)
2022-04-22 17:28:09.084311	acc 4 :   	46.38 (¡À 2.51)	sen :   	42.47 (¡À 3.22)	spe :   	49.75 (¡À 3.87)f1 :   	42.31 (¡À 2.43)auc :   	46.11 (¡À 2.38)
2022-04-22 17:28:09.084311	acc 5 :   	46.43 (¡À 2.57)	sen :   	42.81 (¡À 4.48)	spe :   	49.80 (¡À 3.99)f1 :   	42.49 (¡À 2.20)auc :   	46.30 (¡À 2.41)
2022-04-22 17:28:09.084311	acc 6 :   	46.48 (¡À 4.47)	sen :   	42.64 (¡À 6.13)	spe :   	49.91 (¡À 5.90)f1 :   	42.45 (¡À 5.52)auc :   	46.27 (¡À 4.42)
2022-04-22 17:28:09.084311	acc 7 :   	46.34 (¡À 3.80)	sen :   	42.20 (¡À 4.58)	spe :   	50.06 (¡À 5.38)f1 :   	42.20 (¡À 4.19)auc :   	46.13 (¡À 3.79)
2022-04-22 17:28:09.084311	acc 8 :   	46.47 (¡À 3.06)	sen :   	42.56 (¡À 3.99)	spe :   	50.09 (¡À 4.40)f1 :   	42.38 (¡À 3.88)auc :   	46.32 (¡À 3.04)
2022-04-22 17:28:09.084311	acc 9 :   	46.43 (¡À 2.39)	sen :   	42.18 (¡À 3.33)	spe :   	50.20 (¡À 4.00)f1 :   	42.22 (¡À 3.17)auc :   	46.19 (¡À 2.30)
2022-04-22 17:28:09.084311	 0.20 acc  :   	46.40 (¡À 0.07)  sen  :   	42.44 (¡À 0.27)  spe  :   	49.94 (¡À 0.18)  f1  :   	42.32 (¡À 0.13)  auc  :   	46.19 (¡À 0.09)
2022-04-25 18:39:58.655389	acc 0 :   	46.43 (¡À 4.23)	sen :   	42.41 (¡À 4.10)	spe :   	49.96 (¡À 5.79)f1 :   	42.38 (¡À 4.05)auc :   	46.18 (¡À 4.02)
2022-04-25 18:39:58.655389	acc 1 :   	46.48 (¡À 3.20)	sen :   	42.45 (¡À 3.73)	spe :   	50.01 (¡À 3.96)f1 :   	42.39 (¡À 4.02)auc :   	46.23 (¡À 3.22)
2022-04-25 18:39:58.655389	acc 2 :   	46.29 (¡À 1.76)	sen :   	42.49 (¡À 3.67)	spe :   	49.83 (¡À 5.00)f1 :   	42.26 (¡À 2.29)auc :   	46.16 (¡À 1.73)
2022-04-25 18:39:58.655389	acc 3 :   	46.29 (¡À 3.09)	sen :   	42.48 (¡À 5.96)	spe :   	49.70 (¡À 5.11)f1 :   	42.21 (¡À 4.17)auc :   	46.09 (¡À 3.10)
2022-04-25 18:39:58.655389	acc 4 :   	46.39 (¡À 3.52)	sen :   	42.32 (¡À 6.59)	spe :   	49.87 (¡À 4.06)f1 :   	42.16 (¡À 5.40)auc :   	46.09 (¡À 3.67)
2022-04-25 18:39:58.655389	acc 5 :   	46.25 (¡À 3.06)	sen :   	41.95 (¡À 4.75)	spe :   	50.03 (¡À 5.72)f1 :   	41.94 (¡À 4.83)auc :   	45.99 (¡À 3.16)
